id,left_id,right_id,title_title_jac_qgm_3_qgm_3,title_title_cos_dlm_dc0_dlm_dc0,title_title_mel,title_title_lev_dist,title_title_lev_sim,venue_venue_jac_qgm_3_qgm_3,venue_venue_cos_dlm_dc0_dlm_dc0,venue_venue_jac_dlm_dc0_dlm_dc0,venue_venue_mel,venue_venue_lev_dist,venue_venue_lev_sim,venue_venue_nmw,venue_venue_sw,year_year_exm,year_year_anm,year_year_lev_dist,year_year_lev_sim,label
5967301,conf/vldb/AtzeniMM97,nzG3d6r0BmcJ,0.2857142857142857,0.4472135954999579,0.8584876656532288,13.0,0.5185185185185186,0.0,0.0,0.0,0.0,57.0,0.03389830508474578,-53.0,1.0,0.0,0.0,0.0,0.0,1.0
4902730,conf/sigmod/PoosalaIHS96,HKPOQm4QcQcJ,0.6571428571428571,0.7905694150420948,0.939393937587738,20.0,0.696969696969697,0.07272727272727272,0.0,0.0,0.5639835000038147,27.0,0.2894736842105263,-10.0,9.0,0.0,0.0,0.0,0.0,1.0
6135153,conf/vldb/ChakrabartiDAR97,2LdUbNy0hWwJ,0.4603174603174603,0.3508232077228117,0.8454632759094238,34.0,0.679245283018868,0.08695652173913043,0.5773502691896258,0.3333333333333333,0.7450980544090271,13.0,0.23529411764705888,-9.0,4.0,0.0,0.0,0.0,0.0,1.0
7312132,journals/tods/LitwinN96,url:http://portal.acm.org/ft_gateway.cfm3Fid3D109338626type3Dpdf,0.5416666666666666,0.6546536707079772,0.7097902297973633,18.0,0.5909090909090908,0.4666666666666667,0.4472135954999579,0.2857142857142857,0.8561503887176514,14.0,0.6216216216216216,11.0,14.0,0.0,0.9955112219451372,6.0,0.0,1.0
7969553,journals/vldb/ManegoldBK00,jsNNCDiD0yIJ,0.6823529411764706,0.6666666666666666,0.8081488609313965,23.0,0.6714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4604712,conf/vldb/DonjerkovicR99,SgokkSrdkyAJ,0.625,0.6666666666666667,0.7630898952484131,15.0,0.736842105263158,0.08,0.0,0.0,0.0,15.0,0.21052631578947367,-11.0,4.0,0.0,0.0,0.0,0.0,1.0
4858580,conf/sigmod/HellersteinN96,5vvOcgfpjUgJ,0.4810126582278481,0.2857142857142857,0.8594690561294556,12.0,0.7966101694915254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6666666666666667,1.0
7446017,journals/tods/GutingBEJLSV00,1qV5-83rTyUJ,0.5211267605633803,0.37499999999999994,0.8696889281272888,6.0,0.8947368421052632,0.08196721311475409,0.22360679774997896,0.125,0.6984264254570007,28.0,0.2432432432432432,-3.0,6.0,1.0,1.0,2.0,0.6666666666666667,1.0
506803,conf/vldb/HoelS94,PBMxFmEVlBQJ,0.9215686274509803,0.7302967433402214,0.9873226881027222,1.0,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3854117,conf/vldb/YuV00,j2gOIcgWxb4J,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,0.015873015873015928,-58.0,1.0,0.0,0.0,0.0,0.0,1.0
4756548,conf/sigmod/BerensonBGMOO95,gWmqoNZHKAAJ,0.5652173913043478,0.7637626158259734,0.7068503499031067,28.0,0.582089552238806,0.208955223880597,0.4999999999999999,0.25,0.6042483448982239,43.0,0.2833333333333333,-26.0,11.0,0.0,0.0,0.0,0.0,1.0
4178813,conf/vldb/Deshpande00,2DiLFd0rgPgJ,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.343137264251709,66.0,0.02941176470588236,-62.0,1.0,1.0,1.0,2.0,0.6666666666666667,1.0
